 10.0000  0.0200100.0000
    45.     45.     45.     44.     44.     44.     44.     44.
    44.     44.     44.     44.     44.     44.     44.     44.
    44.     44.     44.     44.     44.     44.     44.     44.
    44.     44.     44.     44.     44.     44.     44.     44.
    44.     44.     44.     44.     44.     44.     44.     44.
    44.     44.     44.     44.     44.     44.     44.     44.
    44.     43.     43.     43.     43.     43.     43.     43.
    43.     43.     43.     43.     43.     43.     43.     43.
    43.     43.     43.     43.     43.     43.     43.     43.
    43.     43.     43.     43.     43.     43.     43.     43.
    43.     43.     43.     43.     43.     43.     43.     43.
    43.     43.     43.     43.     43.     43.     43.     43.
    42.     42.     42.     42.     42.     42.     42.     42.
    42.     42.     42.     42.     42.     42.     42.     42.
    42.     42.     42.     42.     42.     42.     42.     42.
    42.     42.     42.     42.     42.     42.     42.     42.
    42.     42.     42.     42.     42.     42.     42.     42.
    42.     42.     42.     42.     42.     42.     42.     41.
    41.     41.     41.     41.     41.     41.     41.     41.
    41.     41.     41.     41.     41.     41.     41.     41.
    41.     41.     41.     41.     41.     41.     41.     41.
    41.     41.     41.     41.     41.     41.     41.     41.
    41.     41.     41.     41.     41.     41.     41.     41.
    41.     41.     41.     41.     41.     41.     41.     40.
    40.     40.     40.     40.     40.     40.     40.     40.
    40.     40.     40.     40.     40.     40.     40.     40.
    40.     40.     40.     40.     40.     40.     40.     40.
    40.     40.     40.     40.     40.     40.     40.     40.
    40.     40.     40.     40.     40.     40.     40.     40.
    40.     40.     40.     40.     40.     40.     40.     40.
    39.     39.     39.     39.     39.     39.     39.     39.
    39.     39.     39.     39.     39.     39.     39.     39.
    39.     39.     39.     39.     39.     39.     39.     39.
    39.     39.     39.     39.     39.     39.     39.     39.
    39.     39.     39.     39.     39.     39.     39.     39.
    39.     39.     39.     39.     39.     39.     39.     39.
    39.     39.     38.     38.     38.     38.     38.     38.
    38.     38.     38.     38.     38.     38.     38.     38.
    38.     38.     38.     38.     38.     38.     38.     38.
    38.     38.     38.     38.     38.     38.     38.     38.
    38.     38.     38.     38.     38.     38.     38.     38.
    38.     38.     38.     38.     38.     38.     38.     38.
    38.     38.     38.     38.     37.     37.     37.     37.
    37.     37.     37.     37.     37.     37.     37.     37.
    37.     37.     37.     37.     37.     37.     37.     37.
    37.     37.     37.     37.     37.     37.     37.     37.
    37.     37.     37.     37.     37.     37.     37.     37.
    37.     37.     37.     37.     37.     37.     37.     37.
    37.     37.     37.     37.     37.     37.     37.     37.
    36.     36.     36.     36.     36.     36.     36.     36.
    36.     36.     36.     36.     36.     36.     36.     36.
    36.     36.     36.     36.     36.     36.     36.     36.
    36.     36.     36.     36.     36.     36.     36.     36.
    36.     36.     36.     36.     36.     36.     36.     36.
    36.     36.     36.     36.     36.     36.     36.     36.
    36.     36.     36.     36.     35.     35.     35.     35.
    35.     35.     35.     35.     35.     64.     64.     78.
    78.     78.     79.     79.     79.     79.     79.     79.
    79.     80.     80.     80.     80.     80.     80.     81.
    81.     81.     81.     81.     82.     82.     82.     82.
    83.     83.     83.     83.     84.     84.     84.     85.
    85.     85.     86.     86.     87.     87.     87.     88.
    88.     89.     89.     90.     91.     91.     92.     92.
    93.     94.     95.     95.     96.     97.     98.     99.
   100.    101.    102.    103.    105.    106.    107.    109.
   110.    112.    114.    116.    118.    120.    122.    125.
   128.    130.    134.    137.    141.    145.    149.    154.
   159.    164.    170.    177.    185.    193.    202.    212.
   224.    237.    251.    268.    287.    309.    334.    364.
   398.    440.    490.    550.    624.    717.    835.    989.
  1194.   1475.   1883.   2552.   3948.   7408.  15317.  29073.
 44543.  50152.  44499.  36421.  25944.  15306.   8025.   4234.
  2569.   1814.   1392.   1110.    907.    755.    639.    547.
   474.    414.    365.    324.    290.    261.    236.    214.
   195.    179.    164.    151.    140.    130.    121.    112.
   105.     98.     92.     86.     81.     77.     72.     68.
    65.     61.     58.     55.     53.     50.     48.     45.
    43.     41.     40.     38.     36.     35.     33.     33.
    32.     32.     32.     32.     32.     32.     32.     32.
    32.     32.     32.     32.     32.     32.     32.     32.
    32.     32.     32.     32.     32.     32.     32.     32.
    32.     32.     32.     32.     32.     32.     32.     32.
    32.     32.     32.     32.     32.     32.     31.     31.
    31.     31.     31.     31.     31.     31.     31.     31.
    31.     31.     31.     31.     31.     31.     31.     31.
    31.     31.     31.     31.     31.     31.     31.     31.
    31.     31.     31.     31.     31.     31.     31.     31.
    31.     31.     31.     31.     31.     31.     31.     31.
    31.     31.     31.     31.     31.     31.     31.     31.
    31.     31.     31.     31.     31.     31.     31.     30.
    30.     30.     30.     30.     30.     30.     30.     30.
    30.     30.     30.     30.     30.     30.     30.     30.
    30.     30.     30.     30.     30.     30.     30.     30.
    30.     30.     30.     30.     30.     30.     30.     30.
    30.     30.     30.     30.     30.     30.     30.     30.
    30.     30.     30.     30.     30.     30.     30.     30.
    30.     30.     30.     30.     30.     30.     30.     30.
    30.     30.     29.     29.     29.     29.     29.     29.
    29.     29.     29.     29.     29.     29.     29.     29.
    29.     29.     29.     29.     29.     29.     29.     29.
    29.     29.     29.     29.     29.     29.     29.     29.
    29.     29.     29.     29.     29.     29.     29.     29.
    29.     29.     29.     29.     29.     29.     29.     29.
    29.     29.     29.     29.     29.     29.     29.     29.
    29.     29.     29.     29.     29.     29.     28.     28.
    28.     28.     28.     28.     28.     28.     28.     28.
    28.     28.     28.     28.     28.     28.     28.     28.
    28.     28.     28.     28.     28.     28.     28.     28.
    28.     28.     28.     28.     28.     28.     28.     28.
    28.     28.     28.     28.     28.     28.     28.     28.
    28.     28.     28.     28.     28.     28.     28.     28.
    28.     28.     28.     28.     28.     28.     28.     28.
    28.     28.     28.     27.     42.     42.     42.     49.
    50.     50.     50.     50.     50.     50.     50.     50.
    50.     50.     50.     50.     51.     51.     51.     51.
    51.     51.     51.     51.     52.     52.     52.     52.
    52.     52.     52.     53.     53.     53.     53.     53.
    54.     54.     54.     54.     54.     55.     55.     55.
    55.     56.     56.     56.     57.     57.     57.     58.
    58.     59.     59.     60.     60.     60.     61.     62.
    62.     63.     63.     64.     65.     66.     66.     67.
    68.     69.     70.     71.     72.     73.     75.     76.
    77.     79.     81.     82.     84.     86.     89.     91.
    94.     96.     99.    103.    106.    110.    115.    120.
   125.    131.    137.    145.    153.    162.    173.    185.
   199.    215.    233.    255.    280.    311.    348.    393.
   449.    519.    610.    729.    890.   1118.   1477.   2173.
  3827.   7675.  14836.  24101.  29645.  26751.  21554.  19054.
 17019.  12420.   7402.   3949.   2171.   1385.   1014.    797.
   648.    539.    455.    390.    339.    297.    263.    234.
   210.    190.    173.    158.    145.    133.    123.    114.
   106.     99.     93.     87.     82.     78.     73.     70.
    66.     63.     60.     57.     55.     52.     50.     48.
    46.     44.     43.     41.     40.     38.     37.     36.
    35.     34.     33.     32.     31.     30.     29.     29.
    28.     27.     27.     26.     25.     25.     25.     25.
    25.     25.     25.     25.     25.     24.     24.     24.
    24.     24.     24.     24.     24.     24.     24.     24.
    24.     24.     24.     24.     24.     24.     24.     24.
    24.     24.     24.     24.     24.     24.     24.     24.
    24.     24.     24.     24.     24.     24.     24.     24.
    24.     24.     24.     24.     24.     24.     24.     24.
    24.     24.     24.     24.     24.     24.     24.     24.
    24.     24.     24.     24.     24.     24.     24.     24.
    24.     24.     24.     24.     24.     24.     24.     24.
    24.     23.     23.     23.     23.     23.     23.     23.
    23.     23.     23.     23.     23.     23.     23.     23.
    23.     23.     23.     23.     23.     23.     23.     23.
    23.     23.     23.     23.     23.     23.     23.     23.
    23.     23.     23.     23.     23.     23.     23.     23.
    23.     23.     23.     23.     23.     23.     23.     23.
    23.     23.     23.     23.     23.     23.     23.     23.
    23.     23.     23.     23.     23.     23.     23.     23.
    23.     23.     23.     23.     23.     23.     23.     22.
    22.     22.     22.     22.     22.     22.     22.     22.
    22.     22.     22.     22.     22.     22.     22.     23.
    23.     23.     23.     23.     24.     24.     24.     24.
    24.     24.     24.     24.     24.     24.     24.     24.
    24.     24.     24.     24.     24.     24.     24.     24.
    24.     24.     24.     24.     24.     24.     24.     24.
    24.     24.     24.     25.     25.     25.     25.     25.
    25.     25.     25.     25.     25.     25.     25.     25.
    25.     25.     26.     26.     26.     26.     26.     26.
    26.     26.     26.     27.     27.     27.     27.     27.
    27.     27.     28.     28.     28.     28.     29.     29.
    29.     29.     30.     30.     30.     31.     31.     31.
    32.     32.     33.     33.     34.     35.     35.     36.
    37.     38.     38.     39.     41.     42.     43.     44.
    46.     48.     50.     52.     54.     57.     60.     63.
    67.     72.     77.     83.     90.     98.    108.    120.
   135.    153.    176.    205.    244.    296.    372.    496.
   748.   1341.   2632.   4852.   7486.   8776.   7571.   5698.
  4828.   4927.   4724.   3545.   2169.   1191.    669.    432.
   320.    256.    213.    181.    156.    137.    121.    109.
    99.     90.     83.     77.     71.     67.     63.     59.
    56.     54.     51.     49.     47.     45.     44.     42.
    41.     40.     39.     38.     37.     36.     35.     34.
    33.     33.     32.     32.     31.     31.     30.     30.
    29.     29.     29.     28.     28.     28.     27.     27.
    27.     27.     26.     26.     26.     26.     25.     25.
    25.     25.     25.     25.     24.     24.     24.     24.
    24.     24.     24.     24.     23.     23.     23.     23.
    23.     23.     23.     23.     23.     23.     22.     22.
    22.     22.     22.     22.     22.     22.     22.     22.
    22.     22.     22.     22.     21.     21.     21.     21.
    21.     21.     21.     21.     21.     21.     21.     21.
    21.     21.     21.     21.     21.     21.     21.     21.
    21.     21.     20.     20.     19.     19.     19.     19.
    19.     19.     19.     19.     19.     19.     19.     19.
    19.     19.     19.     19.     19.     19.     19.     19.
    19.     19.     19.     19.     19.     19.     19.     19.
    19.     19.     19.     19.     19.     19.     19.     19.
    19.     19.     18.     18.     18.     18.     18.     18.
    18.     19.     19.     19.     19.     19.     19.     19.
    19.     19.     19.     19.     19.     19.     19.     19.
    19.     19.     19.     19.     19.     19.     19.     19.
    19.     19.     19.     19.     19.     19.     19.     19.
    19.     19.     19.     19.     19.     19.     19.     19.
    19.     19.     19.     19.     19.     19.     19.     19.
    19.     20.     20.     20.     20.     20.     20.     20.
    20.     20.     20.     20.     20.     20.     20.     20.
    20.     20.     20.     20.     20.     20.     21.     21.
    21.     21.     21.     21.     21.     21.     21.     21.
    22.     22.     22.     22.     22.     22.     23.     23.
    23.     23.     24.     24.     24.     25.     25.     25.
    26.     26.     27.     27.     28.     28.     29.     30.
    31.     32.     33.     34.     35.     37.     38.     40.
    42.     45.     48.     51.     55.     60.     66.     73.
    81.     92.    106.    124.    148.    182.    236.    343.
   584.   1106.   2029.   3231.   4098.   3854.   2888.   2120.
  1933.   2155.   2240.   1820.   1192.    686.    387.    241.
   174.    138.    115.     99.     86.     76.     68.     62.
    57.     52.     49.     45.     43.     40.     38.     37.
    35.     34.     32.     31.     30.     29.     29.     28.
    27.     27.     26.     25.     25.     25.     24.     24.
    23.     23.     23.     22.     22.     22.     22.     21.
    21.     21.     21.     21.     20.     20.     20.     20.
    20.     20.     20.     19.     19.     19.     19.     19.
    19.     19.     19.     19.     19.     18.     18.     18.
    18.     18.     18.     18.     18.     18.     18.     18.
    18.     18.     18.     18.     18.     18.     17.     17.
    17.     17.     17.     17.     17.     17.     17.     17.
    17.     17.     17.     17.     17.     17.     17.     17.
    17.     17.     17.     17.     17.     17.     17.     17.
    17.     17.     17.     16.     16.     16.     16.     16.
    16.     16.     16.     16.     16.     16.     16.     16.
    16.     16.     16.     17.     17.     17.     17.     17.
    17.     17.     17.     17.     17.     17.     17.     17.
    17.     17.     17.     17.     17.     17.     17.     17.
    17.     17.     17.     17.     18.     18.     18.     18.
    18.     18.     18.     18.     18.     18.     18.     18.
    18.     18.     18.     18.     18.     18.     18.     18.
    18.     18.     19.     19.     19.     19.     19.     19.
    19.     19.     19.     19.     19.     19.     20.     20.
    20.     20.     20.     20.     20.     20.     21.     21.
    21.     21.     21.     21.     22.     22.     22.     22.
    22.     23.     23.     23.     23.     24.     24.     24.
    25.     25.     26.     26.     26.     27.     27.     28.
    29.     29.     30.     30.     31.     32.     33.     34.
    35.     36.     37.     38.     40.     41.     43.     45.
    47.     49.     52.     54.     57.     61.     65.     69.
    74.     80.     87.     94.    103.    114.    127.    142.
   161.    184.    213.    250.    300.    367.    469.    650.
  1031.   1862.   3454.   5874.   8464.   9561.   8185.   5848.
  4203.   3832.   4440.   5089.   4720.   3457.   2146.   1222.
   711.    464.    343.    275.    229.    195.    169.    148.
   131.    117.    106.     96.     88.     81.     75.     70.
    65.     61.     58.     54.     52.     49.     47.     45.
    43.     41.     39.     38.     37.     35.     34.     33.
    32.     31.     31.     30.     29.     28.     28.     27.
    27.     26.     26.     25.     25.     24.     24.     23.
    23.     23.     22.     22.     22.     22.     21.     21.
    21.     21.     20.     20.     20.     20.     20.     19.
    19.     19.     19.     19.     19.     18.     18.     18.
    18.     18.     18.     18.     18.     17.     17.     17.
    17.     17.     17.     17.     17.     17.     17.     17.
    16.     16.     16.     16.     16.     16.     16.     16.
    17.     17.     16.     16.     16.     16.     16.     17.
    17.     16.     16.     16.     16.     16.     16.     16.
    16.     16.     16.     16.     16.     16.     16.     16.
    16.     16.     16.     16.     16.     16.     16.     16.
    15.     15.     15.     15.     15.     15.     15.     15.
    15.     15.     15.     15.     15.     15.     15.     15.
    15.     15.     15.     15.     15.     15.     15.     15.
    15.     15.     15.     15.     15.     15.     15.     16.
    16.     16.     16.     16.     16.     16.     16.     16.
    16.     16.     16.     17.     17.     17.     17.     17.
    17.     17.     17.     18.     18.     18.     18.     18.
    18.     19.     19.     19.     19.     20.     20.     20.
    20.     21.     21.     21.     22.     22.     23.     23.
    24.     24.     25.     25.     26.     27.     28.     29.
    30.     31.     32.     33.     34.     36.     38.     40.
    42.     44.     47.     50.     53.     57.     62.     67.
    74.     81.     90.    101.    114.    131.    152.    179.
   215.    267.    351.    515.    864.   1561.   2738.   4285.
  5613.   5754.   4626.   3222.   2291.   2070.   2428.   2960.
  3077.   2533.   1730.   1048.    608.    373.    259.    199.
   163.    138.    119.    104.     93.     83.     75.     68.
    62.     58.     53.     50.     47.     44.     41.     39.
    37.     36.     34.     33.     31.     30.     29.     28.
    27.     26.     26.     25.     24.     24.     23.     22.
    22.     21.     21.     21.     20.     20.     20.     19.
    19.     19.     18.     18.     18.     18.     17.     17.
    17.     17.     17.     17.     16.     16.     16.     16.
    16.     16.     15.     15.     15.     15.     15.     15.
    15.     15.     15.     15.     14.     14.     14.     14.
    14.     14.     14.     14.     14.     14.     14.     14.
    14.     14.     13.     13.     13.     13.     13.     13.
    13.     13.     13.     13.     13.     13.     13.     13.
    13.     13.     13.     13.     13.     13.     13.     13.
    13.     13.     12.     12.     12.     12.     12.     12.
    12.     12.     12.     12.     12.     12.     12.     12.
    12.     12.     12.     12.     12.     12.     12.     12.
    12.     12.     11.     11.     11.     11.     11.     11.
    11.     11.     11.     11.     11.     11.     11.     11.
    11.     11.     11.     11.     11.     11.     11.     11.
    11.     11.     11.     11.     11.     11.     11.     11.
    11.     11.     11.     11.     11.     11.     11.     11.
    11.     11.     11.     11.     11.     11.     11.     11.
    11.     11.     11.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     11.
    11.     11.     11.     11.     11.     11.     11.     11.
    11.     11.     11.     11.     11.     11.     11.     11.
    11.     11.     11.     11.     12.     12.     12.     12.
    12.     12.     12.     12.     12.     13.     13.     13.
    13.     13.     13.     14.     14.     14.     14.     15.
    15.     16.     16.     16.     17.     18.     18.     19.
    20.     21.     22.     23.     25.     26.     28.     31.
    33.     37.     41.     46.     53.     62.     74.     94.
   129.    199.    335.    566.    895.   1255.   1485.   1418.
  1118.    782.    539.    436.    465.    586.    729.    787.
   698.    521.    345.    214.    133.     90.     67.     55.
    47.     41.     36.     33.     30.     28.     26.     24.
    22.     21.     20.     19.     18.     18.     17.     16.
    16.     15.     15.     15.     14.     14.     14.     13.
    13.     13.     13.     13.     12.     12.     12.     12.
    12.     12.     12.     12.     12.     11.     11.     11.
    11.     11.     11.     11.     11.     11.     11.     11.
    11.     11.     11.     11.     11.     11.     11.     11.
    11.     11.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     11.     11.     11.     11.     11.
    11.     11.     11.     11.     11.     11.     11.     11.
    11.     11.     11.     11.     11.     11.     11.     12.
    12.     12.     12.     12.     12.     12.     12.     12.
    12.     13.     13.     13.     13.     13.     13.     14.
    14.     14.     14.     14.     15.     15.     15.     16.
    16.     16.     17.     17.     18.     18.     19.     19.
    20.     21.     22.     23.     24.     25.     26.     28.
    29.     31.     33.     35.     38.     41.     45.     49.
    54.     61.     68.     78.     89.    105.    125.    157.
   210.    312.    506.    846.   1362.   2006.   2593.   2809.
  2499.   1900.   1317.    915.    747.    796.   1005.   1277.
  1458.   1399.   1127.    796.    515.    321.    205.    143.
   109.     89.     76.     66.     59.     52.     47.     43.
    40.     36.     34.     32.     30.     28.     26.     25.
    24.     23.     22.     21.     20.     20.     19.     18.
    18.     17.     17.     17.     16.     16.     15.     15.
    15.     15.     14.     14.     14.     14.     13.     13.
    13.     13.     13.     13.     12.     12.     12.     12.
    12.     12.     12.     12.     11.     11.     11.     11.
    11.     11.     11.     11.     11.     11.     11.     11.
    11.     11.     11.     11.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     11.     11.     11.     11.
    11.     11.     11.     11.     11.     11.     11.     11.
    11.     11.     12.     12.     12.     12.     12.     12.
    12.     13.     13.     13.     13.     13.     14.     13.
    14.     14.     14.     15.     15.     15.     16.     16.
    17.     17.     18.     18.     19.     20.     21.     22.
    23.     24.     25.     27.     29.     31.     33.     35.
    39.     42.     46.     52.     58.     66.     76.     88.
   106.    134.    182.    271.    434.    706.   1102.   1581.
  2013.   2184.   1981.   1547.   1097.    757.    573.    544.
   645.    832.   1033.   1138.   1064.    852.    608.    401.
   256.    167.    117.     89.     73.     63.     55.     49.
    44.     40.     36.     33.     31.     29.     27.     25.
    24.     23.     22.     21.     20.     19.     18.     18.
    17.     17.     16.     16.     15.     15.     15.     14.
    14.     14.     13.     13.     13.     13.     12.     12.
    12.     12.     12.     12.     12.     11.     11.     11.
    11.     11.     11.     11.     11.     11.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.      9.      9.      9.      9.      9.      9.
     9.      9.      9.      9.      9.      9.      9.      9.
     9.      9.      9.      9.      9.      9.      9.      9.
     9.      9.      9.      9.      9.      9.      9.      9.
     9.      9.      9.      9.      9.      9.      9.      9.
     9.      9.      9.      9.      9.      9.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    10.     10.     10.     10.     10.     10.     10.     10.
    11.     11.     11.     11.     11.     11.     11.     11.
    11.     12.     12.     12.     12.     12.     13.     13.
    13.     13.     14.     14.     14.     15.     15.     16.
    16.     17.     17.     18.     18.     19.     20.     21.
    22.     24.     25.     27.     29.     31.     34.     37.
