Powder v4.0 S1286 90MR21 Y286 DOUBLE  T=19X2        15.000                      
       100       150      3900           196.93001  13.00000 0.0200000
  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  2.0000  3.0000  4.0000  6.0000 10.0000 15.0000 28.0000 50.0000 80.0000100.0000
111.0000100.0000 80.0000 50.0000 28.0000 15.0000 10.0000  6.0000  4.0000  3.0000
  2.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  3.0925  3.1077  3.4175  3.1432  3.1839  3.0925  2.7878  3.2245  3.2956  3.1839
  2.8894  3.0569  3.0011  3.1179  3.0366  3.0468  2.9503  3.0265  2.9858  3.0518
  3.0772  3.2143  3.1179  3.0366  3.1686  3.1788  3.0366  2.7370  2.9147  2.8538
  3.1077  3.1483  2.9604  2.9909  2.8183  2.9452  3.0417  2.7979  3.1179  2.9858
  2.9351  2.9808  3.1331  3.0163  3.1077  3.3514  2.8894  2.7726  3.0620  3.0011
  2.8538  2.8741  2.7573  2.9503  2.9351  2.8538  3.1991  2.8538  2.8843  2.8538
  2.8741  2.9655  2.8183  3.2347  2.8741  2.9960  2.7624  2.9198  2.7116  2.8589
  2.8284  2.9858  2.8741  2.9046  2.9452  3.0925  2.8741  2.8081  2.9706  2.9097
  2.7421  2.8640  2.9604  2.9909  3.1585  3.1890  3.3108  3.2956  4.1995  4.8240
  5.7787  6.8755  6.4185  5.7330  4.3873  3.6053  3.1280  2.9503  2.8843  2.6964
  2.6812  2.6355  2.6710  2.7218  2.6659  2.7421  2.8640  2.6862  2.6050  2.7573
  2.4323  2.6304  2.5187  2.7421  2.7573  2.6304  2.5136  2.5085  2.7269  2.4679
  2.6202  2.3054  2.5542  2.6710  2.3866  2.5847  2.5694  2.4577  2.5441  2.6405
  2.5390  2.4273  2.3612  2.6405  2.4628  2.5085  2.5136  2.3816  2.6253  2.6456
  2.5390  2.6050  2.4222  2.6812  2.4425  2.5034  2.5542  2.6253  2.3562  2.4120
  2.3359  2.2698  2.4730  2.3460  2.6507  2.1937  2.1835  2.3359  2.4374  2.3816
  2.3765  2.2089  2.5034  2.4019  2.5491  2.2902  2.4374  2.3612  2.5441  2.4476
  2.6608  2.3663  2.2445  2.2191  2.1988  2.3359  2.3308  2.1886  2.2902  2.3003
  2.2495  2.3359  2.4882  2.2800  2.3816  2.0515  2.3612  2.4577  2.4577  2.8843
  2.6761  2.9198  3.2854  3.6663  3.9608  3.7526  3.3413  2.8030  2.5796  2.3359
  2.2343  2.4831  2.3511  2.2902  2.2445  2.1632  2.2851  2.2343  2.3866  2.2394
  2.2191  2.2648  2.1226  2.2191  2.1886  2.0870  2.2800  2.0515  2.1023  2.1581
  2.0312  2.0667  2.1581  2.2343  2.3003  2.2648  2.2241  2.2698  2.1175  2.0566
  2.1784  2.3155  2.1886  2.1683  2.0616  1.9906  2.0515  2.1327  2.1277  1.9956
  2.0058  2.0007  2.0058  2.0058  1.9499  2.0210  2.0566  2.1175  1.9855  2.0159
  1.9398  1.9042  1.9956  1.8433  1.9093  1.9550  2.0718  1.9956  2.0312  1.9347
  2.0820  1.9601  2.0109  2.0058  2.0667  2.0413  2.1073  1.9093  1.9093  2.0058
  2.0769  1.9702  2.0363  2.0210  2.1277  2.1175  1.8484  1.9956  2.0870  2.1378
  1.9652  1.8230  1.8230  1.8382  1.9956  1.8077  1.9499  1.8585  2.0769  1.7925
  1.9550  1.8890  1.9347  1.9398  1.7925  1.9144  1.8484  1.8535  1.9855  1.7570
  1.7874  1.7671  1.7722  1.8636  1.8027  1.8331  1.9855  1.7570  1.7265  1.7417
  1.7316  1.9144  1.9347  1.7671  1.8331  1.8179  2.0058  1.9753  1.7671  1.6402
  1.8382  1.6199  1.6960  1.9804  2.0007  1.9804  1.7265  2.0921  1.9499  1.9906
  1.7824  2.1835  2.0159  1.9753  1.9296  2.3155  2.5136  2.9655  3.4479  4.2147
  6.2916  8.9677 10.3946  8.9220  7.2869  5.4182  4.6869  2.7929  2.1429  2.1581
  2.0667  2.1378  1.9398  1.8230  1.9499  1.9296  1.8230  1.7163  1.6808  1.7417
  1.6605  1.7468  1.6453  1.5488  1.7163  1.6199  1.7976  1.5640  1.6097  1.7519
  1.5945  1.6960  1.7265  1.9042  1.6351  1.6656  1.9398  1.7367  1.7113  1.7062
  1.7417  1.6757  1.7671  1.7163  1.9347  1.8992  2.0210  1.8331  2.1327  2.3866
  2.7472  3.2804  4.3264  6.3424  8.4497  8.3837  7.5560  6.0326  5.1186  3.9354
  2.5034  2.2495  1.9956  1.7722  1.7265  1.6859  1.6097  1.6503  1.7874  1.5843
  1.6148  1.5335  1.7265  1.6300  1.6605  1.7773  1.5996  1.5640  1.4675  1.6249
  1.5539  1.4218  1.7417  1.6351  1.7113  1.4828  1.5691  1.6503  1.6605  1.6656
  1.3914  1.4066  1.4167  1.6097  1.7265  1.3406  1.4726  1.6351  1.5082  1.4218
  1.4878  1.5539  1.4320  1.4980  1.5183  1.3660  1.5640  1.7367  1.4980  1.5437
  1.5539  1.6249  1.4980  1.4015  1.5437  1.3660  1.5183  1.5843  1.5589  1.4167
  1.3152  1.3812  1.5183  1.4980  1.5488  1.5183  1.6503  1.3710  1.5437  1.4726
  1.3152  1.4777  1.4472  1.4167  1.4421  1.4624  1.3101  1.5437  1.3507  1.4015
  1.4828  1.5031  1.4675  1.4371  1.3660  1.3761  1.6706  1.5792  1.6605  1.4472
  1.4421  1.3152  1.5589  1.5894  1.4929  1.3101  1.3558  1.3761  1.4980  1.4066
  1.3203  1.3406  1.4675  1.4066  1.3253  1.5335  1.5285  1.5539  1.6808  1.4066
  1.6960  1.6249  1.4117  1.5285  1.6503  1.7214  1.8687  1.9550  2.4882  3.2550
  3.7526  3.9557  3.4733  2.8944  2.8437  2.6608  2.5491  2.3206  2.3866  2.4882
  2.5948  2.8995  3.1839  3.3565  4.2909  5.1592  7.3427 10.8313 18.3720 31.3969
 43.4571 42.4212 36.4698 26.8979 22.5715 17.3970  9.1200  4.4737  3.4632  2.9401
  2.8487  2.5491  2.2546  2.0667  1.9093  1.6300  1.5539  1.5589  1.4371  1.4421
