gDBWS - Graphic data export Powder v3.beta  -  21/12/00 10:40:00 AM
2 theta,   I obs,    I calc,  I obs - I calc 
 18.48    433.0      260.0      173.0  
 18.5     460.0      260.0      200.0  
 18.52    459.0      260.0      199.0  
 18.54    431.0      260.0      171.0  
 18.56    451.0      260.0      191.0  
 18.58    453.0      259.0      194.0  
 18.6     443.0      259.0      184.0  
 18.62    460.0      259.0      201.0  
 18.64    490.0      259.0      231.0  
 18.66    449.0      259.0      190.0  
 18.68    469.0      259.0      210.0  
 18.7     404.0      259.0      145.0  
 18.72    465.0      258.0      207.0  
 18.74    484.0      258.0      226.0  
 18.76    484.0      258.0      226.0  
 18.78    568.0      258.0      310.0  
 18.8     527.0      258.0      269.0  
 18.82    575.0      258.0      317.0  
 18.84    647.0      258.0      389.0  
 18.86    722.0      257.0      465.0  
 18.88    780.0      257.0      523.0  
 18.9     739.0      257.0      482.0  
 18.92    658.0      257.0      401.0  
 18.94    552.0      257.0      295.0  
 18.96    508.0      257.0      251.0  
 18.98    460.0      257.0      203.0  
 19.0     440.0      256.0      184.0  
 19.02    489.0      256.0      233.0  
 19.04    463.0      256.0      207.0  
 19.06    451.0      256.0      195.0  
 19.08    442.0      256.0      186.0  
 19.1     426.0      256.0      170.0  
 19.12    450.0      256.0      194.0  
 19.14    440.0      255.0      185.0  
 19.16    470.0      255.0      215.0  
 19.18    441.0      255.0      186.0  
 19.2     437.0      255.0      182.0  
 19.22    446.0      255.0      191.0  
 19.24    418.0      255.0      163.0  
 19.26    437.0      255.0      182.0  
 19.28    431.0      254.0      177.0  
 19.3     411.0      254.0      157.0  
 19.32    449.0      254.0      195.0  
 19.34    404.0      254.0      150.0  
 19.36    414.0      254.0      160.0  
 19.38    425.0      254.0      171.0  
 19.4     400.0      254.0      146.0  
 19.42    407.0      253.0      154.0  
 19.44    425.0      253.0      172.0  
 19.46    440.0      253.0      187.0  
 19.48    453.0      253.0      200.0  
 19.5     446.0      253.0      193.0  
 19.52    438.0      253.0      185.0  
 19.54    447.0      253.0      194.0  
 19.56    417.0      252.0      165.0  
 19.58    405.0      252.0      153.0  
 19.6     429.0      252.0      177.0  
 19.62    456.0      252.0      204.0  
 19.64    431.0      252.0      179.0  
 19.66    427.0      252.0      175.0  
 19.68    406.0      252.0      154.0  
 19.7     392.0      251.0      141.0  
 19.72    404.0      251.0      153.0  
 19.74    420.0      251.0      169.0  
 19.76    419.0      251.0      168.0  
 19.78    393.0      251.0      142.0  
 19.8     395.0      251.0      144.0  
 19.82    394.0      251.0      143.0  
 19.84    395.0      250.0      145.0  
 19.86    395.0      250.0      145.0  
 19.88    384.0      250.0      134.0  
 19.9     398.0      250.0      148.0  
 19.92    405.0      250.0      155.0  
 19.94    417.0      250.0      167.0  
 19.96    391.0      250.0      141.0  
 19.98    397.0      249.0      148.0  
 20.0     382.0      249.0      133.0  
 20.02    375.0      249.0      126.0  
 20.04    393.0      249.0      144.0  
 20.06    363.0      249.0      114.0  
 20.08    376.0      249.0      127.0  
 20.1     385.0      249.0      136.0  
 20.12    408.0      248.0      160.0  
 20.14    393.0      248.0      145.0  
 20.16    400.0      248.0      152.0  
 20.18    381.0      248.0      133.0  
 20.2     410.0      248.0      162.0  
 20.22    386.0      248.0      138.0  
 20.24    396.0      248.0      148.0  
 20.26    395.0      247.0      148.0  
 20.28    407.0      247.0      160.0  
 20.3     402.0      247.0      155.0  
 20.32    415.0      247.0      168.0  
 20.34    376.0      247.0      129.0  
 20.36    376.0      247.0      129.0  
 20.38    395.0      247.0      148.0  
 20.4     409.0      246.0      163.0  
 20.42    388.0      246.0      142.0  
 20.44    401.0      246.0      155.0  
 20.46    398.0      246.0      152.0  
 20.48    419.0      246.0      173.0  
 20.5     417.0      246.0      171.0  
 20.52    364.0      246.0      118.0  
 20.54    393.0      245.0      148.0  
 20.56    411.0      245.0      166.0  
 20.58    421.0      245.0      176.0  
 20.6     387.0      245.0      142.0  
 20.62    359.0      245.0      114.0  
 20.64    359.0      245.0      114.0  
 20.66    362.0      245.0      117.0  
 20.68    393.0      244.0      149.0  
 20.7     356.0      244.0      112.0  
 20.72    384.0      244.0      140.0  
 20.74    366.0      244.0      122.0  
 20.76    409.0      244.0      165.0  
 20.78    353.0      244.0      109.0  
 20.8     385.0      244.0      141.0  
 20.82    372.0      243.0      129.0  
 20.84    381.0      243.0      138.0  
 20.86    382.0      243.0      139.0  
 20.88    353.0      243.0      110.0  
 20.9     377.0      243.0      134.0  
 20.92    364.0      243.0      121.0  
 20.94    365.0      243.0      122.0  
 20.96    391.0      243.0      148.0  
 20.98    346.0      242.0      104.0  
 21.0     352.0      242.0      110.0  
 21.02    348.0      242.0      106.0  
 21.04    349.0      242.0      107.0  
 21.06    367.0      242.0      125.0  
 21.08    355.0      242.0      113.0  
 21.1     361.0      242.0      119.0  
 21.12    391.0      241.0      150.0  
 21.14    346.0      241.0      105.0  
 21.16    340.0      241.0      99.0   
 21.18    343.0      241.0      102.0  
 21.2     341.0      241.0      100.0  
 21.22    377.0      241.0      136.0  
 21.24    381.0      241.0      140.0  
 21.26    348.0      240.0      108.0  
 21.28    361.0      240.0      121.0  
 21.3     358.0      240.0      118.0  
 21.32    395.0      240.0      155.0  
 21.34    389.0      240.0      149.0  
